playerId,Name,seasonId,teamAbbrev,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,games,ppg,gpg,apg,spg,positionCode,team_points,team_wins,std_ppg
8476461,Sean Couturier,20112012,PHI,13,14,27,18,0,1,4,0,116,1458,2,2,14,14.13917748917749,77,0.35064935064935066,0.16883116883116883,0.18181818181818182,1.5064935064935066,C,103,47,-0.31147694592336117
8477496,Elias Lindholm,20132014,CAR,9,12,21,-14,4,7,2,0,70,1162,0,0,4,14.525862068965518,58,0.3620689655172414,0.15517241379310345,0.20689655172413793,1.206896551724138,C,83,36,-0.3153890842850619
8481477,Nico Sturm,20202021,MIN,11,6,17,10,0,0,2,0,64,743,0,0,17,10.845666666666666,50,0.34,0.22,0.12,1.28,C,75,35,-0.3157507044650908
8475754,Brock Nelson,20132014,NYI,14,12,26,-10,3,7,1,0,132,1454,0,0,12,14.26226851851852,72,0.3611111111111111,0.19444444444444445,0.16666666666666666,1.8333333333333333,C,79,34,-0.3212833278432512
8481580,Connor McMichael,20212022,WSH,9,9,18,-3,0,0,0,0,105,922,0,0,10,10.468137254901961,68,0.2647058823529412,0.1323529411764706,0.1323529411764706,1.5441176470588236,C,100,44,-0.3312333692712265
8474037,James van,20092010,PHI,15,20,35,-1,4,7,6,0,173,1378,0,0,30,12.960042735042736,78,0.44871794871794873,0.19230769230769232,0.2564102564102564,2.217948717948718,LW,88,41,-0.3585059241078085
8478463,Anthony Beauvillier,20162017,NYI,9,15,24,1,0,1,2,0,101,1135,0,0,10,13.020959595959596,66,0.36363636363636365,0.13636363636363635,0.22727272727272727,1.5303030303030303,LW,94,41,-0.37136056249297583
8478099,Kevin Labanc,20162017,SJS,8,12,20,9,0,2,2,1,70,1055,0,0,22,13.67848484848485,55,0.36363636363636365,0.14545454545454545,0.21818181818181817,1.2727272727272727,RW,99,46,-0.37136056249297583
8475170,Brayden Schenn,20112012,PHI,12,6,18,-7,4,5,3,0,97,1000,0,0,34,14.124382716049384,54,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.7962962962962963,C,103,47,-0.3755821046670007
8478873,Troy Terry,20192020,ANA,4,11,15,-5,0,2,0,0,73,898,0,0,6,14.518439716312058,47,0.3191489361702128,0.0851063829787234,0.23404255319148937,1.553191489361702,RW,67,29,-0.40493133679761645
8482124,Quinton Byfield,20212022,LAK,5,5,10,-7,0,1,1,0,39,682,0,0,20,12.156666666666666,40,0.25,0.125,0.125,0.975,RW,99,44,-0.407730942607914
8476453,Nikita Kucherov,20132014,TBL,9,9,18,3,3,4,3,0,102,918,0,0,14,13.115064102564103,52,0.34615384615384615,0.17307692307692307,0.17307692307692307,1.9615384615384615,RW,101,46,-0.4133242080211297
8479536,Axel Jonsson,20222023,WPG,6,8,14,-1,0,0,2,0,54,754,0,1,8,10.456,50,0.28,0.12,0.16,1.08,LW,95,46,-0.4176027306674139
8481528,Dylan Cozens,20202021,BUF,4,9,13,-15,1,1,0,0,62,755,0,0,16,14.356097560975611,41,0.3170731707317073,0.0975609756097561,0.21951219512195122,1.5121951219512195,C,37,15,-0.4318049307276769
